-0.034160271068810165,1.4005711138212156,-3.4160271068810135;-0.055063691326804276,1.645689377623954,-2.4467592988053255
-0.017065695272635108,1.3993870123560777,-3.413139054527018;-0.02749425821686169,1.6434457823577076,-2.4434346862475875
0.0,1.398996457928341,-3.412186482752051;0.0,1.6427064251505934,-2.4423383235660223
0.017065695272634726,1.3993870123560777,-3.413139054527018;0.02749425821686107,1.6434457823577076,-2.4434346862475875
0.034160271068810165,1.4005711138212156,-3.4160271068810135;0.055063691326804276,1.645689377623954,-2.4467592988053255
0.051314194193500966,1.4025879746223688,-3.420946279566753;0.08278806445507281,1.6495177351161663,-2.4524241637256985
0.06856146303036349,1.4055099921224503,-3.4280731515181713;0.1107573829951427,1.6550797418948457,-2.460636102229242
0.08594246103529295,1.4094563609788096,-3.43769844141173;0.13908022743424103,1.6626210504484353,-2.47173570000403
0.1035088435863062,1.4146208623461838,-3.4502947862102036;0.16789811173236796,1.6725421467463866,-2.4862768230990566
0.1213333021416262,1.4213329679447675,-3.4666657754750427;0.19741432589070768,1.6855262518550673,-2.5052014825540923
0.13953321364452434,1.4302154398563733,-3.4883303411131052;0.22796412220830525,1.7028698225009795,-2.5302909045368893
0.15834856770624078,1.4427313946568627,-3.5188570601386893;0.26024694837954654,1.7276320593250822,-2.5657315011026487
0.17869991271022145,1.4653392842238149,-3.573998254204426;0.29699610752396394,1.773385694466293,-2.630010214328225
-0.2308215814861729,1.43819600772154,-3.551101253633432;-0.38156621284557934,1.7243724355141214,-2.604856513467235
-0.20988268054857598,1.4167080937028869,-3.4980446758095964;-0.3433315306268303,1.6816619039820602,-2.543062538368618
-0.19056387005778122,1.4032430431527514,-3.464797637414201;-0.3097649071616754,1.655478626603926,-2.504501681370231
-0.17200080223511882,1.3932064981044616,-3.4400160447023738;-0.27830900011569576,1.6362348657935684,-2.4758398265960815
-0.15391966653682937,1.385276998831463,-3.4204370341517603;-0.24816730816352828,1.6211886878955069,-2.4532436424193955
-0.13618275710686048,1.3788504157069614,-3.404568927671509;-0.2189464766160324,1.609092997129368,-2.4349615223610126
-0.11870544890232074,1.3735916230125673,-3.391584254352018;-0.19040935995182212,1.5992592798307057,-2.4200222862787424
-0.10142915804965223,1.3692936336703039,-3.3809719349884046;-0.16239495380710656,1.591264126946513,-2.4078263796564303
-0.08430987974337593,1.365820051842689,-3.372395189735035;-0.13478461413604587,1.5848296152352073,-2.39797889659816
-0.06731247261410112,1.3630775704355464,-3.3656236307050524;-0.10748529840700394,1.5797662674922945,-2.390209794102525
-0.050407459358940365,1.3610014026913886,-3.360497290596021;-0.08042023718152755,1.5759429020331386,-2.384331636094649
-0.033569062462304976,1.3595470297233503,-3.3569062462304946;-0.053523241696594795,1.573269586983105,-2.380215661014564
-0.01677389333703822,1.3586853603000943,-3.3547786674076403;-0.02673492952204371,1.5716876598373013,-2.37777774716755
0.0,1.3583999168850265,-3.354073868851917;0.0,1.571163933190906,-2.376970254404917
0.016773893337037844,1.3586853603000943,-3.3547786674076403;0.026734929522043115,1.5716876598373013,-2.37777774716755
0.033569062462304976,1.3595470297233503,-3.3569062462304946;0.053523241696594795,1.573269586983105,-2.380215661014564
0.05040745935893999,1.3610014026913886,-3.360497290596021;0.08042023718152695,1.5759429020331386,-2.384331636094649
0.06731247261410112,1.3630775704355464,-3.3656236307050524;0.10748529840700394,1.5797662674922945,-2.390209794102525
0.08430987974337557,1.365820051842689,-3.372395189735035;0.1347846141360453,1.5848296152352073,-2.39797889659816
0.10142915804965223,1.3692936336703039,-3.3809719349884046;0.16239495380710656,1.591264126946513,-2.4078263796564303
0.11870544890232035,1.3735916230125673,-3.391584254352018;0.1904093599518215,1.5992592798307057,-2.4200222862787424
0.13618275710686048,1.3788504157069614,-3.404568927671509;0.2189464766160324,1.609092997129368,-2.4349615223610126
0.15391966653682898,1.385276998831463,-3.4204370341517603;0.24816730816352764,1.6211886878955069,-2.4532436424193955
0.17200080223511882,1.3932064981044616,-3.4400160447023738;0.27830900011569576,1.6362348657935684,-2.4758398265960815
0.19056387005778083,1.4032430431527514,-3.464797637414201;0.30976490716167476,1.6554786266039263,-2.504501681370231
0.20988268054857598,1.4167080937028869,-3.4980446758095964;0.3433315306268303,1.6816619039820602,-2.543062538368618
